Data,Cidade,Novos,Total
2020-04-08,Santa Bárbara D'oeste,0,0
2020-04-08,Santo Antônio De Posse,0,0
2020-04-08,Sumaré,1,5
2020-04-08,Valinhos,2,9
2020-04-08,Vinhedo,0,6
2020-04-09,Americana,0,4
2020-04-09,Artur Nogueira,0,1
2020-04-09,Campinas,14,99
2020-04-09,Cosmópolis,0,0
2020-04-09,Engenheiro Coelho,0,0
2020-04-09,Holambra,0,1
2020-04-09,Hortolândia,0,3
2020-04-09,Indaiatuba,0,11
2020-04-09,Itatiba,0,0
2020-04-09,Jaguariúna,0,1
2020-04-09,Monte Mor,0,0
2020-04-09,Morungaba,2,2
2020-04-09,Nova Odessa,0,0
2020-04-09,Paulínia,0,5
2020-04-09,Pedreira,0,0
2020-04-09,Santa Bárbara D'oeste,0,0
2020-04-09,Santo Antônio De Posse,0,0
2020-04-09,Sumaré,1,6
2020-04-09,Valinhos,0,9
2020-04-09,Vinhedo,0,6
2020-04-10,Americana,1,5
2020-04-10,Artur Nogueira,0,1
2020-04-10,Campinas,0,99
2020-04-10,Cosmópolis,0,0
2020-04-10,Engenheiro Coelho,0,0
2020-04-10,Holambra,0,1
2020-04-10,Hortolândia,2,5
2020-04-10,Indaiatuba,1,12
2020-04-10,Itatiba,0,0
2020-04-10,Jaguariúna,0,1
2020-04-10,Monte Mor,0,0
2020-04-10,Morungaba,0,2
2020-04-10,Nova Odessa,0,0
2020-04-10,Paulínia,1,6
2020-04-10,Pedreira,0,0
2020-04-10,Santa Bárbara D'oeste,0,0
2020-04-10,Santo Antônio De Posse,0,0
2020-04-10,Sumaré,0,6
2020-04-10,Valinhos,2,11
2020-04-10,Vinhedo,1,7
2020-04-11,Americana,0,5
2020-04-11,Artur Nogueira,0,1
2020-04-11,Campinas,8,107
2020-04-11,Cosmópolis,0,0
2020-04-11,Engenheiro Coelho,0,0
2020-04-11,Holambra,0,1
2020-04-11,Hortolândia,0,5
2020-04-11,Indaiatuba,1,13
2020-04-11,Itatiba,0,0
2020-04-11,Jaguariúna,0,1
2020-04-11,Monte Mor,0,0
2020-04-11,Morungaba,0,2
2020-04-11,Nova Odessa,0,0
2020-04-11,Paulínia,0,6
2020-04-11,Pedreira,0,0
2020-04-11,Santa Bárbara D'oeste,0,0
2020-04-11,Santo Antônio De Posse,0,0
2020-04-11,Sumaré,0,6
2020-04-11,Valinhos,0,11
2020-04-11,Vinhedo,0,7
2020-04-12,Americana,0,5
2020-04-12,Artur Nogueira,0,1
2020-04-12,Campinas,0,107
2020-04-12,Cosmópolis,0,0
2020-04-12,Engenheiro Coelho,0,0
2020-04-12,Holambra,0,1
2020-04-12,Hortolândia,0,5
2020-04-12,Indaiatuba,1,14
2020-04-12,Itatiba,0,0
2020-04-12,Jaguariúna,0,1
2020-04-12,Monte Mor,0,0
2020-04-12,Morungaba,0,2
2020-04-12,Nova Odessa,0,0
2020-04-12,Paulínia,2,8
2020-04-12,Pedreira,0,0
2020-04-12,Santa Bárbara D'oeste,0,0
2020-04-12,Santo Antônio De Posse,0,0
2020-04-12,Sumaré,0,6
2020-04-12,Valinhos,0,11
2020-04-12,Vinhedo,0,7
2020-04-13,Americana,2,7
2020-04-13,Artur Nogueira,0,1
2020-04-13,Campinas,0,107
2020-04-13,Cosmópolis,0,0
2020-04-13,Engenheiro Coelho,0,0
2020-04-13,Holambra,0,1
2020-04-13,Hortolândia,0,5
2020-04-13,Indaiatuba,0,14
2020-04-13,Itatiba,0,0
2020-04-13,Jaguariúna,0,1
2020-04-13,Monte Mor,0,0
2020-04-13,Morungaba,2,4
2020-04-13,Nova Odessa,0,0
2020-04-13,Paulínia,0,8
2020-04-13,Pedreira,0,0
2020-04-13,Santa Bárbara D'oeste,0,0
2020-04-13,Santo Antônio De Posse,0,0
2020-04-13,Sumaré,0,6
2020-04-13,Valinhos,1,12
2020-04-13,Vinhedo,1,8
2020-04-14,Americana,0,7
2020-04-14,Artur Nogueira,0,1
2020-04-14,Campinas,25,132
2020-04-14,Cosmópolis,0,0
2020-04-14,Engenheiro Coelho,0,0
2020-04-14,Holambra,0,1
2020-04-14,Hortolândia,1,6
2020-04-14,Indaiatuba,7,21
2020-04-14,Itatiba,0,0
2020-04-14,Jaguariúna,0,1
2020-04-14,Monte Mor,1,1
2020-04-14,Morungaba,0,4
2020-04-14,Nova Odessa,0,0
2020-04-14,Paulínia,2,10
2020-04-14,Pedreira,0,0
2020-04-14,Santa Bárbara D'oeste,0,0
2020-04-14,Santo Antônio De Posse,0,0
2020-04-14,Sumaré,1,7
2020-04-14,Valinhos,1,13
2020-04-14,Vinhedo,3,11
2020-04-15,Americana,11,18
2020-04-15,Artur Nogueira,0,1
2020-04-15,Campinas,6,138
2020-04-15,Cosmópolis,0,0
2020-04-15,Engenheiro Coelho,0,0
2020-04-15,Holambra,0,1
2020-04-15,Hortolândia,0,6
2020-04-15,Indaiatuba,0,21
2020-04-15,Itatiba,0,0
2020-04-15,Jaguariúna,0,1
2020-04-15,Monte Mor,0,1
2020-04-15,Morungaba,0,4
2020-04-15,Nova Odessa,0,0
2020-04-15,Paulínia,0,10
2020-04-15,Pedreira,0,0
2020-04-15,Santa Bárbara D'oeste,0,0
2020-04-15,Santo Antônio De Posse,0,0
2020-04-15,Sumaré,0,7
2020-04-15,Valinhos,0,13
2020-04-15,Vinhedo,0,11
2020-04-16,Americana,0,18
2020-04-16,Artur Nogueira,0,1
2020-04-16,Campinas,14,152
2020-04-16,Cosmópolis,0,0
2020-04-16,Engenheiro Coelho,0,0
2020-04-16,Holambra,1,2
2020-04-16,Hortolândia,1,7
2020-04-16,Indaiatuba,6,27
2020-04-16,Itatiba,0,0
2020-04-16,Jaguariúna,0,1
2020-04-16,Monte Mor,1,2
2020-04-16,Morungaba,0,4
2020-04-16,Nova Odessa,0,0
2020-04-16,Paulínia,0,10
2020-04-16,Pedreira,0,0
2020-04-16,Santa Bárbara D'oeste,0,0
2020-04-16,Santo Antônio De Posse,0,0
2020-04-16,Sumaré,1,8
2020-04-16,Valinhos,2,15
2020-04-16,Vinhedo,2,13
2020-04-17,Americana,5,23
2020-04-17,Artur Nogueira,0,1
2020-04-17,Campinas,11,163
2020-04-17,Cosmópolis,0,0
2020-04-17,Engenheiro Coelho,0,0
2020-04-17,Holambra,0,2
2020-04-17,Hortolândia,5,12
2020-04-17,Indaiatuba,3,30
2020-04-17,Itatiba,0,0
2020-04-17,Jaguariúna,1,2
2020-04-17,Monte Mor,0,2
2020-04-17,Morungaba,0,4
2020-04-17,Nova Odessa,0,0
2020-04-17,Paulínia,1,11
2020-04-17,Pedreira,0,0
2020-04-17,Santa Bárbara D'oeste,0,0
2020-04-17,Santo Antônio De Posse,0,0
2020-04-17,Sumaré,2,10
2020-04-17,Valinhos,1,16
2020-04-17,Vinhedo,1,14
2020-04-18,Americana,0,23
2020-04-18,Artur Nogueira,0,1
2020-04-18,Campinas,0,163
2020-04-18,Cosmópolis,0,0
2020-04-18,Engenheiro Coelho,0,0
2020-04-18,Holambra,0,2
2020-04-18,Hortolândia,2,14
